length,num_upper,num_lower,num_digits,num_special,repeated,sequential,common,entropy,label
8,3,4,1,0,0,0,0,47.633570483095,1
16,9,4,2,1,0,0,0,104.8734216268422,2
6,0,0,6,0,0,0,0,19.931568569324174,0
9,6,2,1,0,0,0,0,53.587766793481876,1
13,4,6,2,1,0,0,0,85.2096550718093,2
5,0,0,5,0,0,0,0,16.609640474436812,0
9,4,3,2,0,0,0,0,53.587766793481876,1
16,6,6,2,2,0,0,0,104.8734216268422,2
4,0,4,0,0,0,0,0,18.80175887256437,0
8,5,1,2,0,0,0,0,47.633570483095,1
13,7,4,1,1,0,0,0,85.2096550718093,2
7,0,7,0,0,0,0,0,32.90307802698765,0
8,4,2,2,0,0,0,0,47.633570483095,1
16,6,5,4,1,0,0,0,104.8734216268422,2
5,0,0,5,0,0,0,0,16.609640474436812,0
11,4,5,2,0,0,0,0,65.49615941425563,1
13,4,7,1,1,0,0,0,85.2096550718093,2
5,0,5,0,0,1,0,0,23.50219859070546,0
11,5,5,1,0,0,0,0,65.49615941425563,1
16,5,7,3,1,0,0,0,104.8734216268422,2
4,0,0,4,0,0,0,0,13.287712379549449,0
11,6,2,3,0,0,0,0,65.49615941425563,1
13,7,3,1,2,0,0,0,85.2096550718093,2
5,0,5,0,0,1,0,0,23.50219859070546,0
10,3,6,1,0,0,0,0,59.54196310386875,1
15,3,5,3,4,1,0,0,98.31883277516457,2
7,0,7,0,0,0,0,0,32.90307802698765,0
9,4,2,3,0,0,0,0,53.587766793481876,1
13,6,5,1,1,0,0,0,85.2096550718093,2
6,0,6,0,0,1,0,0,28.202638308846556,0
8,4,2,2,0,0,0,0,47.633570483095,1
13,4,5,2,2,0,0,0,85.2096550718093,2
4,0,0,4,0,0,0,0,13.287712379549449,0
9,5,3,1,0,0,0,0,53.587766793481876,1
12,5,3,3,1,0,0,0,78.65506622013166,2
5,0,5,0,0,0,0,0,23.50219859070546,0
10,4,2,4,0,0,0,0,59.54196310386875,1
15,4,7,3,1,0,0,0,98.31883277516457,2
6,0,0,6,0,0,0,0,19.931568569324174,0
8,7,0,1,0,0,0,0,41.3594000115385,1
16,8,5,2,1,0,0,0,104.8734216268422,2
7,0,7,0,0,0,0,0,32.90307802698765,0
11,6,2,3,0,0,0,0,65.49615941425563,1
14,5,3,4,2,0,0,0,91.76424392348693,2
6,0,6,0,0,0,0,0,28.202638308846556,0
10,5,3,2,0,0,0,0,59.54196310386875,1
12,5,2,3,2,0,0,0,78.65506622013166,2
5,0,5,0,0,1,0,0,23.50219859070546,0
8,2,5,1,0,0,0,0,47.633570483095,1
15,4,6,3,2,0,0,0,98.31883277516457,2
5,0,5,0,0,0,0,1,23.50219859070546,0
8,3,1,4,0,0,0,0,47.633570483095,1
14,3,7,3,1,0,0,0,91.76424392348693,2
7,0,7,0,0,0,0,0,32.90307802698765,0
11,4,4,3,0,0,0,0,65.49615941425563,1
14,3,6,4,1,0,0,0,91.76424392348693,2
6,0,0,6,0,0,0,0,19.931568569324174,0
9,4,1,4,0,0,0,0,53.587766793481876,1
12,3,4,1,4,0,0,0,78.65506622013166,2
4,0,0,4,0,0,0,0,13.287712379549449,0
8,3,2,3,0,0,0,0,47.633570483095,1
15,4,6,4,1,0,0,0,98.31883277516457,2
6,0,6,0,0,0,0,0,28.202638308846556,0
8,4,3,1,0,0,0,0,47.633570483095,1
15,4,7,2,2,0,0,0,98.31883277516457,2
7,0,7,0,0,0,0,0,32.90307802698765,0
8,3,3,2,0,0,0,0,47.633570483095,1
16,9,4,2,1,0,0,0,104.8734216268422,2
5,0,5,0,0,1,0,0,23.50219859070546,0
9,3,4,2,0,0,0,0,53.587766793481876,1
14,4,7,2,1,0,0,0,91.76424392348693,2
4,0,4,0,0,0,0,0,18.80175887256437,0
11,4,0,7,0,0,0,0,56.86917501586544,1
12,4,5,1,2,0,0,0,78.65506622013166,2
6,0,6,0,0,0,0,1,28.202638308846556,0
10,3,4,3,0,0,0,0,59.54196310386875,1
13,4,2,5,2,0,0,0,85.2096550718093,2
5,0,0,5,0,0,0,0,16.609640474436812,0
10,3,4,3,0,0,0,0,59.54196310386875,1
16,7,6,2,1,0,0,0,104.8734216268422,2
9,0,0,9,0,0,1,1,29.89735285398626,0
11,5,1,5,0,0,0,0,65.49615941425563,1
15,3,9,2,1,0,0,0,98.31883277516457,2
7,0,0,7,0,0,1,1,23.253496664211536,0
11,7,3,1,0,0,0,0,65.49615941425563,1
15,5,7,1,2,0,0,0,98.31883277516457,2
4,0,4,0,0,0,0,0,18.80175887256437,0
11,5,4,2,0,0,0,0,65.49615941425563,1
13,4,5,3,1,0,0,0,85.2096550718093,2
7,0,0,7,0,0,1,1,23.253496664211536,0
11,5,5,1,0,0,0,0,65.49615941425563,1
14,7,3,2,2,0,0,0,91.76424392348693,2
6,0,6,0,0,0,0,0,28.202638308846556,0
11,5,3,3,0,0,0,0,65.49615941425563,1
14,5,4,2,3,0,0,0,91.76424392348693,2
6,0,0,6,0,0,0,0,19.931568569324174,0
9,3,3,3,0,0,0,0,53.587766793481876,1
14,6,2,3,3,0,0,0,91.76424392348693,2
4,0,4,0,0,1,0,0,18.80175887256437,0
11,4,4,3,0,0,0,0,65.49615941425563,1
13,4,7,1,1,0,0,0,85.2096550718093,2
4,0,4,0,0,1,0,0,18.80175887256437,0
8,4,1,3,0,0,0,0,47.633570483095,1
12,3,3,5,1,0,0,0,78.65506622013166,2
6,0,6,0,0,1,0,0,28.202638308846556,0
10,5,1,4,0,0,0,0,59.54196310386875,1
15,4,7,3,1,0,0,0,98.31883277516457,2
5,0,5,0,0,1,0,0,23.50219859070546,0
10,2,5,3,0,0,0,0,59.54196310386875,1
12,3,5,3,1,0,0,0,78.65506622013166,2
7,0,7,0,0,0,0,1,32.90307802698765,0
9,2,4,3,0,0,0,0,53.587766793481876,1
13,4,4,3,2,0,0,0,85.2096550718093,2
6,0,0,6,0,0,0,0,19.931568569324174,0
10,5,1,4,0,0,0,0,59.54196310386875,1
14,5,7,1,1,0,0,0,91.76424392348693,2
7,0,7,0,0,0,0,0,32.90307802698765,0
10,2,7,1,0,0,0,0,59.54196310386875,1
14,4,7,2,1,0,0,0,91.76424392348693,2
6,0,6,0,0,0,0,0,28.202638308846556,0
8,2,4,2,0,0,0,0,47.633570483095,1
14,3,6,3,2,0,0,0,91.76424392348693,2
4,0,4,0,0,0,0,0,18.80175887256437,0
11,7,3,1,0,0,0,0,65.49615941425563,1
13,5,4,1,3,0,0,0,85.2096550718093,2
5,0,5,0,0,1,0,0,23.50219859070546,0
11,3,3,5,0,0,0,0,65.49615941425563,1
14,6,6,1,1,0,0,0,91.76424392348693,2
5,0,0,5,0,0,0,0,16.609640474436812,0
10,3,3,4,0,0,0,0,59.54196310386875,1
16,4,7,2,3,0,0,0,104.8734216268422,2
5,0,5,0,0,1,0,0,23.50219859070546,0
11,3,6,2,0,0,0,0,65.49615941425563,1
16,4,7,4,1,0,1,0,104.8734216268422,2
4,0,4,0,0,1,0,0,18.80175887256437,0
9,5,2,2,0,0,0,0,53.587766793481876,1
13,3,6,2,2,0,0,0,85.2096550718093,2
8,0,8,0,0,0,0,1,37.60351774512874,0
10,3,6,1,0,0,0,0,59.54196310386875,1
16,4,5,4,3,0,0,0,104.8734216268422,2
6,0,0,6,0,0,0,0,19.931568569324174,0
11,4,4,3,0,0,0,0,65.49615941425563,1
15,3,9,1,2,0,0,0,98.31883277516457,2
6,0,0,6,0,0,1,1,19.931568569324174,0
11,5,4,2,0,0,0,0,65.49615941425563,1
12,4,5,1,2,0,0,0,78.65506622013166,2
4,0,4,0,0,0,0,0,18.80175887256437,0
11,6,1,4,0,0,0,0,65.49615941425563,1
12,4,4,2,2,0,0,0,78.65506622013166,2
6,0,6,0,0,1,0,0,28.202638308846556,0
9,4,3,2,0,0,0,0,53.587766793481876,1
15,6,4,4,1,0,0,0,98.31883277516457,2
6,0,0,6,0,0,0,0,19.931568569324174,0
10,3,6,1,0,0,0,0,59.54196310386875,1
13,4,6,2,1,0,0,0,85.2096550718093,2
6,0,0,6,0,0,0,0,19.931568569324174,0
9,5,3,1,0,0,0,0,53.587766793481876,1
12,5,3,2,2,0,0,0,78.65506622013166,2
7,0,7,0,0,0,0,0,32.90307802698765,0
8,4,1,3,0,0,0,0,47.633570483095,1
13,4,3,2,4,0,0,0,85.2096550718093,2
6,0,6,0,0,0,0,0,28.202638308846556,0
8,6,1,1,0,0,0,0,47.633570483095,1
16,5,5,2,4,0,0,0,104.8734216268422,2
4,0,4,0,0,1,0,0,18.80175887256437,0
8,5,0,3,0,0,0,0,41.3594000115385,1
12,5,4,2,1,1,0,0,78.65506622013166,2
5,0,5,0,0,0,0,0,23.50219859070546,0
8,3,2,3,0,0,0,0,47.633570483095,1
12,5,2,4,1,0,0,0,78.65506622013166,2
6,0,6,0,0,1,0,0,28.202638308846556,0
8,3,1,4,0,0,0,0,47.633570483095,1
13,7,2,3,1,0,0,0,85.2096550718093,2
6,0,6,0,0,1,0,0,28.202638308846556,0
9,4,4,1,0,0,0,0,53.587766793481876,1
13,9,1,2,1,0,0,0,85.2096550718093,2
4,0,4,0,0,0,0,0,18.80175887256437,0
8,3,4,1,0,0,0,0,47.633570483095,1
12,5,5,1,1,0,0,0,78.65506622013166,2
6,0,0,6,0,0,0,0,19.931568569324174,0
10,5,3,2,0,0,0,0,59.54196310386875,1
16,7,5,3,1,0,0,0,104.8734216268422,2
5,0,5,0,0,1,0,0,23.50219859070546,0
11,7,2,2,0,0,0,0,65.49615941425563,1
13,4,7,1,1,0,0,0,85.2096550718093,2
5,0,5,0,0,0,0,1,23.50219859070546,0
11,4,5,2,0,0,0,0,65.49615941425563,1
13,3,4,3,3,0,0,0,85.2096550718093,2
6,0,0,6,0,0,1,1,19.931568569324174,0
11,5,5,1,0,0,0,0,65.49615941425563,1
15,6,7,1,1,0,0,0,98.31883277516457,2
6,0,0,6,0,0,0,0,19.931568569324174,0
9,3,3,3,0,0,0,0,53.587766793481876,1
13,4,6,1,2,0,0,0,85.2096550718093,2
5,0,0,5,0,0,0,0,16.609640474436812,0
9,3,3,3,0,0,0,0,53.587766793481876,1
15,4,4,3,4,0,0,0,98.31883277516457,2
7,0,7,0,0,0,0,1,32.90307802698765,0
9,3,4,2,0,0,0,0,53.587766793481876,1
16,5,7,3,1,0,0,0,104.8734216268422,2
4,0,4,0,0,1,0,0,18.80175887256437,0
9,7,0,2,0,0,0,0,46.529325012980806,1
12,4,5,2,1,0,0,0,78.65506622013166,2
6,0,6,0,0,1,0,0,28.202638308846556,0
9,5,1,3,0,0,0,0,53.587766793481876,1
16,8,5,1,2,0,0,0,104.8734216268422,2
6,0,3,3,0,0,1,1,31.019550008653873,0
9,2,5,2,0,0,0,0,53.587766793481876,1
16,7,5,2,2,0,0,0,104.8734216268422,2
6,0,6,0,0,0,1,1,28.202638308846556,0
10,3,4,3,0,0,0,0,59.54196310386875,1
16,6,6,2,2,0,0,0,104.8734216268422,2
5,0,5,0,0,0,0,0,23.50219859070546,0
9,4,3,2,0,0,0,0,53.587766793481876,1
14,6,5,1,2,0,0,0,91.76424392348693,2
5,0,5,0,0,0,0,0,23.50219859070546,0
10,5,4,1,0,0,0,0,59.54196310386875,1
16,4,7,3,2,0,0,0,104.8734216268422,2
6,0,6,0,0,0,0,0,28.202638308846556,0
10,6,3,1,0,0,0,0,59.54196310386875,1
15,3,7,3,2,0,0,0,98.31883277516457,2
5,0,5,0,0,1,0,0,23.50219859070546,0
9,6,1,2,0,0,0,0,53.587766793481876,1
14,4,4,5,1,0,0,0,91.76424392348693,2
5,0,5,0,0,0,0,0,23.50219859070546,0
8,6,0,2,0,0,0,0,41.3594000115385,1
13,3,6,2,2,0,0,0,85.2096550718093,2
4,0,0,4,0,0,0,0,13.287712379549449,0
10,6,1,3,0,0,0,0,59.54196310386875,1
16,5,7,3,1,0,0,0,104.8734216268422,2
5,0,5,0,0,1,0,0,23.50219859070546,0
10,4,3,3,0,0,0,0,59.54196310386875,1
12,6,4,1,1,0,0,0,78.65506622013166,2
5,0,5,0,0,0,0,0,23.50219859070546,0
10,4,4,2,0,0,0,0,59.54196310386875,1
14,5,7,1,1,0,0,0,91.76424392348693,2
6,0,6,0,0,1,0,0,28.202638308846556,0
9,6,2,1,0,0,0,0,53.587766793481876,1
15,6,4,4,1,0,0,0,98.31883277516457,2
6,0,6,0,0,1,0,0,28.202638308846556,0
9,3,3,3,0,0,0,0,53.587766793481876,1
13,4,4,2,3,0,0,0,85.2096550718093,2
6,0,6,0,0,1,0,0,28.202638308846556,0
11,7,2,2,0,0,0,0,65.49615941425563,1
12,3,5,1,3,0,0,0,78.65506622013166,2
6,0,6,0,0,0,0,0,28.202638308846556,0
11,5,1,5,0,0,0,0,65.49615941425563,1
15,8,4,2,1,0,0,0,98.31883277516457,2
4,0,4,0,0,0,0,0,18.80175887256437,0
8,5,2,1,0,0,0,0,47.633570483095,1
15,4,8,2,1,0,0,0,98.31883277516457,2
5,0,5,0,0,0,0,0,23.50219859070546,0
8,2,5,1,0,0,0,0,47.633570483095,1
12,3,7,1,1,0,0,0,78.65506622013166,2
5,0,5,0,0,1,0,0,23.50219859070546,0
8,4,1,3,0,0,0,0,47.633570483095,1
15,5,6,3,1,0,0,0,98.31883277516457,2
4,0,4,0,0,1,0,0,18.80175887256437,0
8,4,2,2,0,0,0,0,47.633570483095,1
16,3,10,2,1,0,0,0,104.8734216268422,2
4,0,0,4,0,0,0,0,13.287712379549449,0
10,4,3,3,0,0,0,0,59.54196310386875,1
14,7,4,1,2,0,0,0,91.76424392348693,2
6,0,6,0,0,1,0,0,28.202638308846556,0
8,4,3,1,0,0,0,0,47.633570483095,1
14,5,6,2,1,0,0,0,91.76424392348693,2
6,0,6,0,0,0,0,1,28.202638308846556,0
10,3,4,3,0,0,0,0,59.54196310386875,1
16,5,3,7,1,0,0,0,104.8734216268422,2
4,0,0,4,0,0,1,1,13.287712379549449,0
8,4,2,2,0,0,0,0,47.633570483095,1
12,4,2,3,3,0,0,0,78.65506622013166,2
4,0,4,0,0,0,0,0,18.80175887256437,0
11,4,6,1,0,0,0,0,65.49615941425563,1
16,5,7,3,1,0,0,0,104.8734216268422,2
5,0,0,5,0,0,0,0,16.609640474436812,0
9,2,4,3,0,0,0,0,53.587766793481876,1
12,7,2,2,1,0,0,0,78.65506622013166,2
7,0,7,0,0,0,0,1,32.90307802698765,0
9,4,3,2,0,0,0,0,53.587766793481876,1
16,5,3,4,4,0,0,0,104.8734216268422,2
7,0,7,0,0,0,0,0,32.90307802698765,0
10,5,3,2,0,0,0,0,59.54196310386875,1
15,4,8,2,1,0,0,0,98.31883277516457,2
